Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
0,23.4841028396258,23.4841028396258,23.4841028396258,-0.8,2.41753594576171,2.41753594576171,2.41753594576171,0,0,23.5,0,0,22,0,0,0,5,-2.52512,10683.2646161957,10683.2646161957,10683.2646161957
0.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00249521930520359,2.41813308134309,2.4175554785854,2.41754205854286,0,0,23.5,2.49220243967124,0,22,0,0,0,5,-0.00787591021494462,10684.8129325168,10683.3152593008,10683.2804648872
1,23.4841028396258,23.4841028396258,23.4841028396258,-0.0031083405757704,2.41823639842223,2.4175778209563,2.4175492913328,0,0,23.5,2.49028643570072,0,22,0,0,0,5,-0.00981116619336169,10685.0808474961,10683.3731870738,10683.2992174723
1.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00371194544489541,2.41833910900243,2.41760257194555,2.4175575462969,0,0,23.5,2.4884001704847,0,22,0,0,0,5,-0.0117163846022679,10685.3471966219,10683.4373601267,10683.3206203083
2,23.4841028396258,23.4841028396258,23.4841028396258,-0.00411993155446083,2.41844121522818,2.41762956894894,2.41756679611005,0,0,23.5,2.48712521389231,0,22,0,0,0,5,-0.0130041519585002,10685.6119853344,10683.5073569801,10683.344602565
2.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.0041811492551173,2.41854271678982,2.41765865929854,2.41757701406241,0,0,23.5,2.48693390857776,0,22,0,0,0,5,-0.0131973795088523,10685.8752127103,10683.5827819161,10683.3710950088
3,23.4841028396258,23.4841028396258,23.4841028396258,-0.00381796968227761,2.41864361243227,2.41768969965928,2.41758817404595,0,0,23.5,2.48806884474288,0,22,0,0,0,0,-0.012051039505141,10686.1368753753,10683.6632634126,10683.4000299674
3.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00321651315179125,2.41874390070021,2.41772255546286,2.41760025054133,0,0,23.5,2.48994839640065,0,22,0,0,0,0,-0.0101526021123139,10686.3969694359,10683.7484526745,10683.431341296
4,23.4841028396258,23.4841028396258,23.4841028396258,-0.00260462283609513,2.41884358347322,2.41775710037527,2.41761321860507,0,0,23.5,2.4918605536372,0,22,0,0,0,0,-0.00822123151985068,10686.6554996484,10683.8380222523,10683.4649643436
4.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00217054294450989,2.41894266555347,2.41779321579721,2.41762705385684,0,0,23.4995661756343,2.49321705329841,0,22,0,0,0,0,-0.00685110175005102,10686.9124783504,10683.9316647462,10683.5008359203
