Time,T1Mesure,T2Mesure,T3Mesure,T3Estimation,Consigne
0.0,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
0.5,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
1.0,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
1.5,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
2.0,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
2.5,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
3.0,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
3.5,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
4.0,23.4841028396258,23.4841028396258,23.4841028396258,23.5,30
4.5,23.4841028396258,23.4841028396258,23.4841028396258,23.4995661756343,30
5.0,23.4841028396258,23.4841028396258,23.4841028396258,23.4991467098576,30
5.5,23.4841028396258,23.4841028396258,23.4841028396258,23.4987411157014,30
6.0,23.4841028396258,23.4841028396258,23.4841028396258,23.4983489228957,30
6.5,23.6198085517439,23.4841028396258,23.4841028396258,23.4979696772939,30
7.0,23.7827745560676,23.5112368929362,23.4841028396258,23.4976055764006,30
7.5,23.9186817620519,23.5112368929362,23.5112368929362,23.4980017740661,30
8.0,24.081896773225,23.5383744710102,23.5112368929362,23.4983977412842,30
8.5,24.2180175124118,23.5655155936366,23.5112368929362,23.4995391099067,30
9.0,24.3814960173485,23.5926602806124,23.5112368929362,23.5014057606169,30
9.5,24.5178423967833,23.6198085517439,23.5383744710102,23.5039782060377,30
10.0,24.6542953620842,23.6469604268457,23.5383744710102,23.5072375518456,30
10.5,24.8181831681886,23.6741159257419,23.5655155936366,23.5111649650569,30
11.0,24.9548795178615,23.7284378742585,23.5655155936366,23.5157427313734,30
11.5,25.0916905577207,23.7556043635723,23.5926602806124,23.5216944009105,30
12.0,25.2286188373069,23.8099484716143,23.5926602806124,23.5282366132867,30
12.5,25.3656669147103,23.8643075513903,23.6198085517439,23.5360946374676,30
13.0,25.5302863555762,23.8914927554073,23.6469604268457,23.5452279364822,30
13.5,25.6676070365908,23.9458745912424,23.6741159257419,23.5548564072781,30
14.0,25.8050557620505,24.0002717969842,23.6741159257419,23.5657094715143,30
14.5,25.9426351290453,24.0546845321795,23.7012750682655,23.5777495652747,30
15.0,26.0803477446977,24.1091129565378,23.7284378742585,23.5909403696752,30
15.5,26.2181962264544,24.1907853600284,23.7556043635723,23.6052467687237,30
16.0,26.3561832023798,24.2452537071164,23.7827745560676,23.6213773197343,30
16.5,26.4943113114527,24.2997383036723,23.8099484716143,23.6385312839958,30
17.0,26.6049171951213,24.3542393101723,23.8371261300921,23.6566777939411,30
17.5,26.7433060300693,24.4360219400472,23.8643075513903,23.6757864625943,30
18.0,26.8818434479199,24.4905646746649,23.8914927554073,23.6965714386983,30
18.5,27.020532131871,24.5724106514213,23.9186817620519,23.7182359166482,30
19.0,27.1315938016232,24.6269961211087,23.9730712629071,23.7414979227942,30
19.5,27.2705615659016,24.70890695738,24.0002717969842,23.7655621700459,30
20.0,27.4096881760459,24.7635361720555,24.0274762134222,23.7911493333463,30
20.5,27.5211056685516,24.8455133850061,24.0546845321795,23.8174665823707,30
21.0,27.6605250946888,24.9001873576633,24.1091129565378,23.8452376013625,30
21.5,27.8001110503583,24.9822324691539,24.1363331021075,23.8736707380602,30
22.0,27.9119015775771,25.0369522159725,24.1635572299341,23.9034931167975,30
22.5,28.0517942782663,25.1190667527258,24.2180175124118,23.9339146147878,30
23.0,28.1638338174729,25.2012236795485,24.2452537071164,23.9656645589353,30
23.5,28.2759863628702,25.2560187869497,24.2724939641853,23.9987011679696,30
