Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
0,23.4841028396258,23.4841028396258,23.4841028396258,-0.8,2.41753594576171,2.41753594576171,2.41753594576171,0,0,23.5,0,0,30,0,0,0,5,-2.52512,10683.2646161957,10683.2646161957,10683.2646161957
0.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00249521930520359,2.41813308134309,2.4175554785854,2.41754205854286,0,0,23.5,2.49220243967124,0,30,0,0,0,5,-0.00787591021494462,10684.8129325168,10683.3152593008,10683.2804648872
1,23.4841028396258,23.4841028396258,23.4841028396258,-0.0031083405757704,2.41823639842223,2.4175778209563,2.4175492913328,0,0,23.5,2.49028643570072,0,30,0,0,0,5,-0.00981116619336169,10685.0808474961,10683.3731870738,10683.2992174723
1.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00371194544489541,2.41833910900243,2.41760257194555,2.4175575462969,0,0,23.5,2.4884001704847,0,30,0,0,0,5,-0.0117163846022679,10685.3471966219,10683.4373601267,10683.3206203083
2,23.4841028396258,23.4841028396258,23.4841028396258,-0.00411993155446083,2.41844121522818,2.41762956894894,2.41756679611005,0,0,23.5,2.48712521389231,0,30,0,0,0,5,-0.0130041519585002,10685.6119853344,10683.5073569801,10683.344602565
2.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.0041811492551173,2.41854271678982,2.41765865929854,2.41757701406241,0,0,23.5,2.48693390857776,0,30,0,0,0,5,-0.0131973795088523,10685.8752127103,10683.5827819161,10683.3710950088
3,23.4841028396258,23.4841028396258,23.4841028396258,-0.00381796968227761,2.41864361243227,2.41768969965928,2.41758817404595,0,0,23.5,2.48806884474288,0,30,0,0,0,0,-0.012051039505141,10686.1368753753,10683.6632634126,10683.4000299674
3.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00321651315179125,2.41874390070021,2.41772255546286,2.41760025054133,0,0,23.5,2.48994839640065,0,30,0,0,0,0,-0.0101526021123139,10686.3969694359,10683.7484526745,10683.431341296
4,23.4841028396258,23.4841028396258,23.4841028396258,-0.00260462283609513,2.41884358347322,2.41775710037527,2.41761321860507,0,0,23.5,2.4918605536372,0,30,0,0,0,0,-0.00822123151985068,10686.6554996484,10683.8380222523,10683.4649643436
4.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00217054294450989,2.41894266555347,2.41779321579721,2.41762705385684,0,0,23.4995661756343,2.49321705329841,0,30,0,0,0,0,-0.00685110175005102,10686.9124783504,10683.9316647462,10683.5008359203
5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00206745459902464,2.41904115417474,2.41783079039444,2.41764173246725,0,0,23.4991467098576,2.49353920437805,0,30,0,0,0,0,-0.00652571369636138,10687.167924188,10684.0290915878,10683.538894265
5.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00239052973608366,2.41913905771138,2.41786971965695,2.41765723114586,0,0,23.4987411157014,2.49252959457474,0,30,0,0,0,5,-0.00754546805897448,10687.4218587685,10684.1300318972,10683.5790790146
6,23.4841028396258,23.4841028396258,23.4841028396258,-0.00297986306059656,2.41923638477426,2.41790990548451,2.4176735271293,2.60066043084172,0,23.4983489228957,2.49068792793564,2.60066043084172,30,0,0,0,5,-0.00940563976446697,10687.6743043155,10684.2342314076,10683.6213311731
6.5,23.6198085517439,23.4841028396258,23.4841028396258,0.787483823487474,2.39298388471268,2.41748015144458,2.41754407145081,2.60066043084172,0,23.4979696772939,4.96088694839836,2.60066043084172,30,0,0,0,5,2.48561394045586,10619.8035123646,10683.119958627,10683.2856837866
7,23.7827745560676,23.5112368929362,23.4841028396258,0.78747209128768,2.36627411906732,2.41610597356371,2.41711343160643,2.60066043084172,0,23.4976055764006,4.960850285274,2.60066043084172,30,0,0,0,5,2.48557690894043,10551.2060627025,10679.5577749634,10682.1692168061
7.5,23.9186817620519,23.5112368929362,23.5112368929362,0.787458748251548,2.33974149358745,2.41384868891406,2.4163893772952,2.60066043084172,0,23.4980017740661,4.96080858828609,2.60066043084172,30,0,0,0,5,2.48553479298119,10483.5139516191,10673.7090387965,10680.292321881
8,24.081896773225,23.5383744710102,23.5112368929362,0.787447047279888,2.31338526569382,2.41076624697931,2.41537961161884,2.6357498193027,0,23.4983977412842,4.96077202274965,2.60064090348634,30,0,0,0,5,2.48549786003424,10416.7119350024,10665.7276207094,10677.6753741632
